epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9782,1.98355,3.25513,1.56775,0.01135,0.73007,0.42241,0.16421,1.6843,3.60994,1.35184,0.0002625,0.0002625,0.0002625
2,47.1954,1.75819,1.92095,1.3919,0.00997,0.57796,0.36552,0.1362,1.79728,3.7235,1.56816,0.000532179,0.000532179,0.000532179
3,70.3709,1.72359,1.59956,1.42993,0.94299,0.22222,0.83752,0.41206,1.64817,2.7797,1.31923,0.000796412,0.000796412,0.000796412
4,93.7309,1.69009,1.43765,1.40478,0.93627,0.45348,0.91432,0.41275,1.67452,2.60366,1.3883,0.0010552,0.0010552,0.0010552
5,117.101,1.67531,1.40601,1.44649,0.90577,0.78147,0.92049,0.43812,1.7463,1.92349,1.46945,0.0012005,0.0012005,0.0012005
6,140.777,1.68761,1.32216,1.43124,0.83318,0.86485,0.88557,0.43967,1.68325,1.57707,1.43148,0.00118812,0.00118812,0.00118812
7,164.016,1.6014,1.25489,1.39359,0.8672,0.83548,0.9193,0.46014,1.67082,1.58101,1.45722,0.00117575,0.00117575,0.00117575
8,187.404,1.65753,1.219,1.38873,0.90087,0.94106,0.96505,0.47175,1.64839,1.21512,1.48476,0.00116337,0.00116337,0.00116337
9,210.525,1.64295,1.18938,1.38907,0.9482,0.965,0.96837,0.48949,1.66215,1.16115,1.48153,0.001151,0.001151,0.001151
10,233.378,1.58448,1.09062,1.37164,0.96208,0.87488,0.93942,0.49745,1.61157,1.06234,1.47931,0.00113863,0.00113863,0.00113863
11,255.844,1.57709,1.07451,1.39089,0.93402,0.96184,0.96963,0.4757,1.6973,1.06626,1.48834,0.00112625,0.00112625,0.00112625
12,280.765,1.56701,1.03407,1.37338,0.97053,0.94962,0.98218,0.51294,1.61952,0.9592,1.47514,0.00111388,0.00111388,0.00111388
13,305.667,1.59574,0.98817,1.38629,0.90963,0.96107,0.97084,0.50551,1.66045,0.98116,1.49747,0.0011015,0.0011015,0.0011015
14,330.322,1.53003,0.97867,1.34534,0.89284,0.97011,0.94993,0.47061,1.72496,1.1043,1.52859,0.00108913,0.00108913,0.00108913
15,354.973,1.58048,0.96429,1.3869,0.84609,0.87565,0.90022,0.44547,1.67432,1.02967,1.53083,0.00107675,0.00107675,0.00107675
16,380.054,1.5563,0.94746,1.36239,0.90604,0.95652,0.94605,0.45671,1.69646,0.92844,1.4959,0.00106437,0.00106437,0.00106437
17,405.058,1.54351,0.92649,1.34313,0.96635,0.93384,0.97423,0.49527,1.64131,0.89548,1.48028,0.001052,0.001052,0.001052
18,428.312,1.53892,0.91155,1.34605,0.94494,0.96371,0.97843,0.4817,1.73737,0.89215,1.53855,0.00103962,0.00103962,0.00103962
19,449.61,1.54099,0.88242,1.36278,0.97028,0.89662,0.95895,0.49874,1.67911,0.86326,1.50479,0.00102725,0.00102725,0.00102725
20,471.001,1.52632,0.90361,1.35003,0.92755,0.95097,0.95728,0.50666,1.67718,0.84293,1.52039,0.00101488,0.00101488,0.00101488
